Service Name,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
Transcribe,0,0,0,0,0,0,0,0,0,0,0,0
CentOS 7.9 (ARM) with support by Fleximg - Kernel 5.10,0,0,0,0,0,0,0,0,0,0,0,0
Claude 3.5 Haiku ( Bedrock Edition),0,0,0,0,0,0,0,0,0,0,0,0
Location Service,0,0,0,0,0,0,0,0,0,0,0,0
Simple Workflow Service,0,0,0,0,0,0,0,0,0,0,0,0
Budgets,0,0,0,0,0,0,0,0,0,0,0,0
Glacier,0,0,0,0,0,0,0,0,0,0,0,0
IoT Analytics,0,0,0,0,0,0,0,0,0,0,0,0
CloudShell,0,0,0,0,0,0,0,0,0,0,0,0
Migration Hub Refactor Spaces,0,0,0,0,0,0,0,0,0,0,0,0
X-Ray,0,0,0,0,0,0,0,0,0,0,0,0
Cognito,0,0,0,0,0,0,0,0,0,0,0,0
SimpleDB,0,0,0,0,0,0,0,0,0,0,0,0
CentOS 7.9 (X86-64) with support by Fleximg - Kernel 5.15,0,0,0,0,0,0,0,0,0,0,0,0
CloudFormation,0,0,0,0,0,0,0,0,0,0,0,0
CodeCommit,0,0,0,0,0,0,0,0,0,0,0,0
Elastic Container Registry Public,0,0,0,0,0,0,0,0,0,0,0,0
Total costs,"4,668,958","4,490,456","4,389,100","4,368,239","4,235,363","4,132,414","4,209,433","4,083,758","4,327,233","4,406,366","3,994,369","4,325,159"
