"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Elastic Container Service for Kubernetes($)","Relational Database Service($)","CloudWatch($)","Elastic Load Balancing($)","EC2 Container Registry (ECR)($)","S3($)","Cost Explorer($)","Service Catalog($)","Route 53($)","DynamoDB($)","Secrets Manager($)","SQS($)","SNS($)","Key Management Service($)","Lambda($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-04-20","20.3186974192","6.0972192519","4.5603413311","2.4","","0.5866666608","","","0.0001384638","0.01","0","","0.021312","0.0155833344","0.0001008","0","0.002268","","0.0000030161","0.000000284","0.0000006525","0","0","","34.0123312138"
"2024-04-21","20.3186970779","6.0973912294","4.5603623645","2.4","","0.5866666608","","","0.0001417261","0.01","0.0021","","0.021312","0.0153133344","0.0001104","0","0.001836","","0.0000030586","0.00000037","0.0000006525","0","0","","34.0139348742"
"2024-04-22","20.1708197747","6.3492845906","4.560951341","2.38021875","","0.5866666608","","","0.0017758467","0.01","0.0014","","0.021312","0.0153283344","0.0001104","0","0.002214","","0.0000029794","0.000000356","0.0000006264","0","0","","34.10008566"
"2024-04-23","20.3187047498","6.1001920096","4.5604039408","2.4","0.1386755715","0.5866666608","","","0.0009787265","0.01","0.0014","","0.021312","0.0155833344","0.00012","0","0.00225","","0.0000029181","0.000000356","0.0000006264","0","0","","34.1562908939"
"2024-04-24","20.3187066345","6.1001037327","4.5604294869","2.4","2.3471362001","0.5866666608","","","0.000990462","0.01","0.0014","","0.021312","0.0151333344","0.0001056","0","0.00246","","0.0000025055","0.000000344","0.0000006003","0","0","","36.3644475612"
"2024-04-25","20.3187066785","6.0996482275","4.5604028671","2.4","2.3419685065","0.5866666608","","","0.0009787265","0.01","0.0014","","0.021312","0.0147733344","0.0001056","0","0.00246","","0.0000024384","0.000000343","0.0000006003","0","0","","36.358425983"
"2024-04-26","20.3187073496","6.1002491474","4.5603715563","2.4","2.3471145837","0.5866666608","","","0.0009787265","0.01","0.0014","","0.021312","0.0153133344","0.0001008","0","0.00246","","0.000002371","0.000000344","0.0000006003","0","0","","36.364677474"
"2024-04-27","20.3187064182","6.1002867498","4.5603456149","2.4","2.3446004476","0.5866666608","","","0.0009787265","0.01","0.0014","","0.021312","0.0154033344","0.0001104","0","0.00252","","0.0000024838","0.000000343","0.0000005742","0","0","","36.3623337532"
"2024-04-28","20.3187065016","6.1001925497","4.5603437047","2.4","2.347669647","0.5866666608","","","0.0009835989","0.01","0.0014","","0.021312","0.0152233344","0.000096","0","0.002205","","0.0000023953","0.000000298","0.000000522","0","0","","36.3648022124"
"2024-04-29","20.5201538191","6.2931992963","4.560353039","2.4","0.6925088029","0.5866666608","","","0.0009787265","0.01","0.0014","","0.021312","0.0151333344","0.0000912","0","0.002616","","0.0000028809","0.000000313","0.0000006003","0","0","","35.1044166732"
"2024-04-30","20.5778856311","6.3085853341","4.5603454063","2.4","0.0003666336","0.5866666608","","","0.0009787265","0.01","0.0014","","0.021312","0.0154033344","0.0001008","0","0.002709","","0.0000031253","0.000000284","0.0000006003","0","0","","34.4857575364"
"2024-05-01","20.5777574875","6.1664255046","4.5603381489","2.4","0.0003548064","0.541935492","","","0.0009542244","0.01","0","","0.021312","0.0147932256","0.0001152","0","0.00252","","0.000003126","0.000000343","0.0000006264","0","0","","34.2965101848"
"2024-05-02","20.5777568874","6.1657987","4.560377706","2.4","0.0003548064","0.5677419432","","","0.0009526244","0.01","0","","0.021312","0.0147032256","0.0001152","0","0.00246","","0.000003149","0.0000003","0.0000006525","0","0","","34.3215771945"
"2024-05-03","20.5777548401","6.1659943883","4.5603875798","2.4","0.0003548064","0.5677419432","","","0.0009526244","0.01","0","","0.021312","0.0148832256","0.000096","0","0.00246","","0.0000031686","0.000000341","0.0000005742","0","0","","34.3219414916"
"2024-05-04","20.5777543189","6.1661950849","4.5603903903","2.4","0.0003548064","0.5677419432","","","0.0009542766","0.01","0","","0.021312","0.0145232256","0.0001152","0","0.00252","","0.000003128","0.000000328","0.0000005742","0","0","","34.3218652761"
"2024-05-05","20.5777541185","6.1658034765","4.5603935569","2.4","0.0003548064","0.5677419432","","","0.0009542708","0.01","0","","0.021312","0.0145232256","0.00012","0","0.0021","","0.0000032271","0.000000269","0.0000005742","0","0","","34.3210614682"
"2024-05-06","20.5777558154","6.1662406393","4.5603930502","2.4","1.6221299193","0.5677419432","","","0.0009693691","0.01","0","","0.021312","0.0151532256","0.0001104","0","0.00246","","0.0000031591","0.0000003","0.0000006003","0","0","","35.9442704215"
"2024-05-07","20.5777600853","6.1664017669","4.5604229532","2.4","2.3450511749","0.5677419432","","","0.0009542766","0.01","0","","0.021312","0.0148832256","0.000096","0","0.00246","","0.0000031264","0.000000314","0.0000005742","0","0","","36.6670874403"
"2024-05-08","20.5777576852","6.1662293077","4.5604543767","2.4","2.3452824747","0.5677419432","","","0.0009526244","0.01","","","0.021312","0.0151532256","0.0001104","0","0.00246","","0.0000030388","0.000000357","0.0000004959","0","0","","36.6674579292"
"2024-05-09","20.5777572133","6.1660279887","4.5604306556","2.4","2.347688468","0.5677419432","","","0.0009558708","","0","","0.021312","0.0149732256","0.0001008","0","0.00246","","0.0000030083","0.000000343","0.0000005742","0","0","","36.6594520907"
"2024-05-10","20.577761004","6.1673303086","4.5603712874","2.4","2.3438387645","0.5677419432","","","0.0009526244","0.01","0","","0.021312","0.0148832256","0.0001056","0","0.00246","","0.0000029964","0.000000372","0.0000006003","0","0","","36.6667607264"
"2024-05-11","20.5777555661","6.1659241627","4.5603307395","2.4","2.3486198021","0.5677419432","","","0.0009542504","0.01","0","","0.021312","0.0149732256","0.0001104","0","0.00246","","0.0000031337","0.000000343","0.0000005481","0","0","","36.6701861144"
"2024-05-12","20.5777530272","6.1658703433","4.5603407047","2.4","2.3445341445","0.5677419432","","","0.0009526244","0.01","0","","0.021312","0.0152432256","0.00012","0","0.00252","","0.0000030838","0.000000356","0.0000006525","0","0","","36.6663921052"
"2024-05-13","20.577756344","6.1662250407","4.5603407476","2.4","2.3441410222","0.5677419432","","","0.0009526244","0.01","0","","0.021312","0.0147932256","0.000096","0","0.0021","","0.0000030186","0.000000299","0.000000522","0","0","","36.6654627873"
"2024-05-14","20.5777607601","6.166612652","4.5603400822","2.4","2.3463948878","0.5677419432","","","0.0009518379","0.01","0","","0.021312","0.0149732256","0.0001104","0","0.00246","","0.0000030616","0.000000373","0.0000005481","0","0","","36.6686617715"
"2024-05-15","20.5777565559","6.1658400909","4.5603404244","2.4","2.345089394","0.5677419432","","","0.0010324215","0.01","0","","0.021312","0.0150632256","0.0001104","0","0.00246","","0.0000034205","0.000000329","0.0000005481","0","0","","36.6667507531"
"2024-05-16","20.7026687713","6.233790539","4.560365699","2.4","2.3482494775","0.5677419432","","","0.0013098646","0.01","0","","0.021312","0.0149832256","0.0001152","0.0000000217","0.00246","","0.0000037216","0.000000344","0.0000006003","0","0","","36.8630014078"
"2024-05-17","20.2718338652","6.2429827953","4.5603990728","2.4","2.3468610539","0.5677419432","","","0.0011429658","0.01","0","","0.021312","0.0148932256","0.000096","0.0000000066","0.00258","","0.0000039344","0.000000315","0.0000006264","0","0","","36.4398478042"
"2024-05-18","20.5777558351","6.1659183298","4.5603992874","2.4","2.3429171175","0.5677419432","","","0.001057483","0.01","0","","0.021312","0.0150632256","0.0001152","0","0.00246","","0.0000038638","0.000000359","0.0000004959","0","0","","36.6647451403"
"2024-05-19","20.5777540113","6.1654758494","4.5603968687","2.4","2.3460439706","0.5677419432","","","0.0010514308","0.01","0","","0.021312","0.0148832256","0.0001008","0","0.00252","","0.0000038248","0.000000314","0.0000005481","0","0","","36.6672847865"
"2024-05-20","20.5777568047","6.1661060397","4.560359836","2.4","2.3486940836","0.5677419432","","","0.0010478306","0.01","0","","0.021312","0.0149732256","0.0001104","0","0.00246","","0.0000039295","0.000000358","0.0000006003","0","0","","36.6705670512"
"2024-05-21","20.5777575826","6.166422261","4.5603435233","2.4","2.3451789273","0.5677419432","","","0.0010478308","0.01","0","","0.021312","0.0146132256","0.000096","0","0.00246","","0.0000037132","0.00000033","0.0000006003","0","0","","36.6669779373"
"2024-05-22","20.577758558","6.1661658705","4.5603402707","2.4","2.3445840609","0.5677419432","","","0.0009471823","0.01","0","","0.021312","0.0143455912","0.0001104","0","0.00246","","0.0000036378","0.00000033","0.0000005481","0","0","","36.6657703927"
"2024-05-23","18.9207554027","6.1661937355","4.5603393268","2.4","2.346374835","0.5677419432","","","0.0010478306","0.01","0","","0.021312","0.0147932256","0.0000912","0","0.00246","","0.0000038305","0.000000314","0.0000006003","0","0","","35.0111142442"
"2024-05-24","18.5893543163","6.1657551152","4.5603387088","2.4","2.3462669864","0.5677419432","","","0.001049509","0.01","0","","0.021312","0.0149732256","0.0000816","0","0.00246","","0.0000039551","0.000000328","0.0000005742","0","0","","34.6793382618"
"2024-05-25","18.5893533428","6.1657312584","4.5603381099","2.4","2.3457596632","0.5677419432","","","0.001047831","0.01","0","","0.021312","0.0147032256","0.0001008","0","0.00246","","0.0000037569","0.000000315","0.000000522","0","0","","34.678552768"
"2024-05-26","18.5893525671","6.1657346102","4.5603664268","2.4","2.345281816","0.5677419432","","","0.001047831","0.01","0.0014","","0.021312","0.0148832256","0.000096","0","0.002646","","0.000003797","0.000000298","0.000000522","0","0","","34.6798670369"
"2024-05-27","19.2521549568","6.1658359413","4.5603954485","2.4","2.346560655","0.5677419432","","","0.0010436676","0.01","0.0014","","0.021312","0.0146132256","0.0000816","0","0.002583","","0.0000037799","0.000000298","0.000000522","0","0","","35.3437270379"
"2024-05-28","20.5777573243","6.1661530004","4.5603950727","2.4","2.3446124155","0.5677419432","","","0.0011040784","0.01","0.0014","","0.021312","0.0146132256","0.0001056","0","0.002646","","0.0000037567","0.000000315","0.0000005481","0","0","","36.6678452799"
"2024-05-29","20.5777620606","6.1673583927","4.5603934156","2.4","2.3449802965","0.5677419432","","","0.0024930933","0.01","0.0014","","0.021312","0.0148832256","0.0001104","0","0.002583","","0.0000036024","0.000000312","0.000000522","0","0","","36.6710222639"
"2024-05-30","18.9207581014","6.166232128","4.5603363122","2.4","2.3486336029","0.5677419432","","","0.0027489595","0.01","0.0014","","0.021312","0.0142555912","0.0001008","0","0.002583","","0.0000033851","0.000000329","0.000000522","0","0","","35.0161066745"
"2024-05-31","18.765071775","6.1657132311","4.5603366091","2.4","2.3454200286","0.5677419432","","","0.0026639725","0.01","0.0014","","0.021312","0.0147932256","0.0001008","0","0.002583","","0.0000034727","0.000000269","0.0000005481","0","0","","34.8571408749"
"2024-06-01","20.376082703","6.2816106348","4.5603433498","2.4","2.3465694911","0.5866666608","","","0.0029451137","0.01","0","","0.021312","0.0152233344","0.0001152","0","0.00246","","0.0000034954","0.000000315","0.0000005742","0","0","","36.6033328722"
"2024-06-02","20.5777567533","6.2817978336","4.5603432061","2.4","2.345624811","0.5866666608","","","0.002434187","0.01","0","","0.021312","0.0151333344","0.0001056","0","0.00246","","0.000003603","0.000000299","0.000000522","0","0","","36.8036388102"
"2024-06-03","20.5777570159","6.2816887281","5.8610522686","2.4","2.3453383574","0.5866666608","","","0.0028586406","0.01","0","","0.021312","0.0150433344","0.000096","0","0.00252","","0.0000033216","0.000000268","0.000000522","0","0","","38.1043371174"
"2024-06-04","20.2463565581","6.2816360673","7.4403498975","2.4","2.3440645847","0.5866666608","","","0.0027742596","0.01","0","","0.021312","0.0152233344","0.0000912","0","0.00252","","0.0000033843","0.000000285","0.000000522","0","0","","39.3509987537"
"2024-06-05","20.5777655408","6.2829582378","7.4403436085","2.4","2.3471934181","0.5866666608","","","0.0024192366","0.01","0","","0.021312","0.0149533344","0.000096","0","0.00192","","0.0000028179","0.000000285","0.0000004437","0","0","","39.6856315836"
"2024-06-06","20.5777619625","6.2869929806","7.4403410485","2.4","2.3454421757","0.5866666608","","","0.0025358456","0.01","0","","0.021312","0.0148633344","0.000096","0","0.00186","","0.0000028467","0.000000299","0.0000004698","0","0","","39.6878756236"
"2024-06-07","20.5777614311","6.2823024624","7.4405128748","2.4","2.3457750013","0.5866666608","","","0.0026892464","0.01","0","","0.021312","0.0150433344","0.0000864","0","0.00216","","0.0000028991","0.000000284","0.0000004437","0","0","","39.684313038"
"2024-06-08","20.5777579801","6.2819922274","7.4405609038","2.4","2.3431939647","0.5866666608","","","0.0021800184","0.01","0","","0.021312","0.0146833344","0.0000864","0","0.00216","","0.0000029268","0.000000299","0.0000004698","0","0","","39.6805971852"
"2024-06-09","20.5777562779","6.2817422823","7.4405630502","2.4","2.3468763213","0.5866666608","","","0.0025192196","0.01","0","","0.021312","0.0150433344","0.0001008","0","0.0021","","0.0000028855","0.000000282","0.0000004437","0","0","","39.6846835577"
"2024-06-10","20.5777585733","6.2816662244","7.4405683697","2.4","2.3444774378","0.5866666608","","","0.0026076098","0.01","0","","0.021312","0.0151333344","0.0000864","0","0.00216","","0.0000028842","0.000000255","0.0000004959","0","0","","39.6824402453"
"2024-06-11","20.577765075","6.2824939615","7.4405707598","2.4","2.345026991","0.5866666608","","","0.002758947","0.01","0","","0.021312","0.0148633344","0.0000768","0","0.00216","","0.0000029064","0.000000285","0.0000004176","0","0","","39.6836981385"
"2024-06-12","20.5777606926","6.2820161337","7.4405669339","2.4","2.3470100743","0.5866666608","","","0.0023558702","0.01","0","","0.021312","0.0146833344","0.000072","0","0.00216","","0.0000027942","0.000000225","0.0000003654","0","0","","39.6846070845"
"2024-06-13","20.5777557989","6.2817397183","7.4405684562","2.4","2.3450668453","0.5866666608","","","0.0022583484","0.01","0","","0.021312","0.0146833344","0.0000816","0","0.00222","","0.0000027297","0.000000225","0.0000004176","0","0","","39.6823561346"
"2024-06-14","20.5535142884","6.3868203582","7.4408435739","2.4","2.3458614272","0.5866666608","","","0.0024187537","","0","","0.021312","0.0142333344","0.0000576","0","0.00198","","0.0000027951","0.00000015","0.0000002871","0","0","","39.7537112288"
"2024-06-15","20.5691815061","6.2866419478","7.44057265","2.4","2.3474490533","0.5866666608","","","0.001530234","0.01","0","","0.021312","0.0136933344","0.0000192","0","0.00216","","0.000002816","0.000000075","0.0000001044","0","0","","39.6792295818"
"2024-06-16","20.5799935978","6.2865588512","7.4405743494","2.4","2.3448307887","0.5866666608","","","0.0011845645","0.01","0","","0.021312","0.0134233344","","0","0.00204","","0.0000031241","0.00000003","0.0000000522","0","0","","39.6865873531"
"2024-06-17","20.5800386054","6.2954240106","7.4405700901","2.4","2.3468039997","0.5866666608","","","0.0011669196","","","","0.021312","0.0127777788","","","0.00204","","0.0000029725","","","0","","","39.6868030375"
"2024-06-18","13.2634854721","6.2868851342","7.440619234","2.4","2.3456762691","0.5866666608","","","0.0010821077","","0","","0.021312","0.0127777788","","0","0.00204","","0.0000035819","","","0","","","32.3605482386"
"2024-06-19","13.2892048982","6.287058871","7.4406146576","2.4","2.343960871","0.5866666608","","","0.0011195394","","","","0.021312","0.0133333344","","","0.0015","","0.0000034642","0.000000015","","0","","","32.3847743116"
"2024-06-20","13.2892213368","6.3455802342","7.4406258246","2.4","2.3456934739","0.5866666608","","0.002549376","0.0011354402","","","","0.021312","0.0133333344","","","0.00132","","0.000003583","","","0","","","32.4474412639"
"2024-06-21","13.2892143327","6.3046164779","7.4406255211","2.4","2.3452661862","0.5866666608","","0.0049549159","0.0011846164","0.03","0","","0.021312","0.0129677788","0.0000096","0","0.00186","","0.0000035386","0.000000045","0.0000000522","0","0","","32.4386817256"
"2024-06-22","13.2635269056","6.2859547323","7.4406259409","2.4","2.3453053562","0.5866666608","","0.005506824","0.001281274","","","","0.021312","0.0134233344","0.0000096","0","0.00192","","0.0000034521","0.000000015","","0","0","","32.3655360953"
"2024-06-23","13.2892560779","6.2858219294","7.4406297645","2.4","2.346671563","0.5866666608","","0.005506824","0.0016955228","0.07","0.0091","","0.021312","0.0139633344","0.0000336","0","0.00192","","0.000003334","0.000000105","0.0000001566","0","0","","32.4725808724"
"2024-06-24","13.7005029046","6.5904109218","7.4406829417","2.4","2.3461283352","0.6399999936","","0.005506824","0.0036930039","0.01","0.0014","","0.0213120355","0.0158583344","0.0001296","0","0.00222","","0.0000032567","0.000000402","0.0000007047","0","0","","33.1778492581"
"2024-06-25","13.9062643195","6.7320870441","7.440977321","2.4","2.3464180855","0.66666666","","0.005506824","0.004182832","0.01","0.0014","","0.021312039","0.0160333344","0.0001488","0","0.00216","","0.0000031976","0.000000458","0.0000008352","0","0","","33.5531617503"
"2024-06-26","13.8532936822","6.6579731001","7.4406661981","2.4","2.3445513989","0.66666666","0.4063","0.005506824","0.0036043649","0.01","0.0021","0.2001784","0.0213120446","0.0161233344","0.0001488","0","0.002289","","0.0000034068","0.000000472","0.0000008352","0","0","","34.0307185212"
"2024-06-27","13.9062015466","6.6522111871","7.4421507728","2.4","2.3463129287","0.66666666","0.5739202641","0.005506824","0.0028629575","0.01","0.0014","0.0002296","0.0213120456","0.0154033344","0.0001104","0","0.002376","","0.0000032138","0.000000356","0.0000006003","0","0","","34.0466686909"
"2024-06-28","13.9062025616","6.6521770038","7.4406343553","2.4","2.3468581024","0.66666666","0.5736862576","0.005506824","0.0038615002","0.01","0.0021","0.0002312","0.0213120456","0.0161233344","0.0001488","0","0.00198","","0.0000031712","0.000000444","0.0000008091","0","0","","34.0474930692"
"2024-06-29","13.9062315215","6.6519930959","7.4405915521","2.4","2.3462507116","0.66666666","0.5736334222","0.005506824","0.0040306748","0.01","0.0021","0.0001176","0.0213120456","0.0161233344","0.00012","0","0.002484","","0.000003249","0.000000472","0.0000008352","0","0","","34.0471659983"
"2024-06-30","13.9062321798","6.6514393726","7.4405954861","2.4","2.343336131","0.66666666","0.5736434668","0.005506824","0.0041156882","0.01","0.0021","0.0001576","0.0213120456","0.0162133344","0.0001536","0","0.002484","","0.0000032074","0.000000472","0.0000007047","0","0","","34.0439607726"
"2024-07-01","13.9062659858","6.524632771","7.4418416372","2.4","2.346163994","0.0258064512","0.573910217","0.0053291856","0.0039969462","0.01","0","1.0003988","0.0213120456","0.0157832256","0.0001488","0","0.002376","","0.0000031152","0.000000458","0.0000008091","0","0","","34.2779704415"
"2024-07-02","13.9063027144","6.5311384847","7.4408723362","2.4","2.3479611911","0.6451612992","0.573764562","0.0053291856","0.0039119327","0.01","0","0.0003524","0.0213120456","0.0156032256","0.0001536","0","0.002388","","0.0000032434","0.000000472","0.0000008352","0","0","","33.9042555277"
"2024-07-03","13.9063009442","6.5350910359","7.4406226044","2.4","2.3452334317","0.6451612992","0.5736957333","0.0053291856","0.0040411521","0.01","0","0.0002636","0.0213120456","0.0157832256","0.0001152","0","0.00231","","0.0000029403","0.000000457","0.0000008091","0","0","","33.905263664"
"2024-07-04","13.9062313665","6.5244765247","7.441434881","2.4","2.3450158104","0.6451612992","0.5738351378","0.0053291856","0.003147488","0.01","0","0.0003272","0.0213120456","0.0154232256","0.0001008","0","0.00231","","0.0000032784","0.000000428","0.0000007308","0","0","","33.8941094016"
"2024-07-05","13.9062738445","6.5243418027","7.440745512","2.4","2.3462601406","0.6451612992","0.5737114826","0.0053291856","0.0032160486","0.01","0","0.0002592","0.0213120456","0.0145232256","0.0001008","0","0.002376","","0.0000033215","0.000000342","0.0000006003","0","0","","33.8936148508"
"2024-07-06","13.9062595322","6.5239572745","7.440620512","2.4","2.3483023698","0.6451612992","0.5736650668","0.0053291856","0.00306269","0.01","0","0.0002276","0.0213120456","0.0141655912","0.0001008","0","0.00231","","0.0000034563","0.000000315","0.0000005742","0","0","","33.8944783124"
"2024-07-07","13.9121762539","6.5320095618","7.4409738764","2.4","2.3442843","0.6451612992","0.5736182222","0.0053291856","0.0032318646","0.01","0","0.0000524","0.0213120456","0.0147932256","0.0001152","0","0.002466","","0.0000035551","0.000000345","0.0000005742","0","0","","33.9055279092"
"2024-07-08","13.9058504978","6.4248274649","7.4424011258","2.4","2.3467122407","0.6451612992","0.5748962529","0.0058135358","0.0032318646","0.01","0","0.0009328","0.0213120456","0.0149732256","0.0000912","0","0.002376","","0.0000034133","0.000000328","0.0000005481","0","0","","33.7985838423"
"2024-07-09","13.905367187","6.5070728324","7.4423391024","2.4","2.3462313756","0.6451612992","0.5764264992","0.0097364695","0.0031468512","0.01","0","0.0005564","0.0213120456","0.0143455912","0.0001056","0","0.00231","","0.0000033147","0.000000328","0.0000006003","0","0","","33.8841154963"
"2024-07-10","13.9053819912","6.4089324931","7.4410601138","2.4","2.3450059515","0.6451612992","0.5739237405","0.0124507392","0.003741945","0.01","0","0.0004496","0.0213120456","0.0149755912","0.000144","0","0.002442","","0.000003387","0.000000444","0.000000783","0","0","","33.7849861243"
"2024-07-11","17.0817069121","6.9173198726","7.4687482544","2.4","2.3481668191","0.6451612992","0.5738066113","0.0197234508","0.0041134374","0.01","0.0154","0.0004332","0.0213120456","0.0151655912","0.0000912","0","0.002376","","0.0000036383","0.000000398","0.0000008352","0","0","","37.5235295652"
"2024-07-12","20.3652738784","6.9348433347","7.4525837633","2.4","0.8211863286","0.6451612992","0.5739052032","0.0318375657","0.0043505749","0.01","0.0245","0.000662","0.0213120456","0.0158782256","0.0001948105","0.0000000088","0.002316","","0.0000037695","0.000000486","0.0000008091","0","0","","39.3040101031"
"2024-07-13","26.6265165051","7.5349414138","7.4603675492","2.4","0.0004094928","0.6451612992","0.5742339463","0.0375506004","0.0042381346","0.01","0.0245","0.0008212","0.0213120456","0.0158032256","0.0016392565","0.000000011","0.00231","","0.0000036214","0.000000472","0.0000008352","0","0","","45.3598096087"
"2024-07-14","32.0405203858","7.7534160784","7.4452549941","2.4","0.0004094928","0.6451612992","0.6484714864","0.0472854331","0.0115750922","0.01","0.3808","0.0004916","0.0213120456","0.0155132256","0.0034276227","0","0.002376","","0.0000038459","0.000000444","0.0000006786","0","0","","51.4260197244"
"2024-07-15","32.0407728341","8.4457437211","7.4439420778","2.4","0.0004094928","0.6451612992","0.9690605874","0.0535534834","0.0569176396","0.01","0.4046","0.0008124","0.0213120456","0.0156932256","0.0107050747","0.0004885684","0.002568","","0.0000038685","0.000000371","0.0000008091","0","0","","52.5217454983"
"2024-07-16","34.8422579714","7.773735817","7.4478878237","2.4","0.0004094928","0.6451612992","0.6032562411","0.061747206","0.0153938691","0.01","0.4046","0.0048352","0.0213120456","0.0155182256","0.0060946329","0.0000592082","0.002592","","0.0000036481","0.00000043","0.000000783","0","0","","54.2548658937"
"2024-07-17","36.5487231451","7.6629194199","7.447184796","2.4","0.0004094928","0.6451612992","0.7893385146","0.0702695127","0.0319188103","0.01","0.3927","0.0018684","0.0213120456","0.0156032256","0.0086283676","0.0003104731","0.002592","","0.0000035734","0.000000444","0.0000007308","0","0","","56.0489442507"
"2024-07-18","36.5744000118","7.5405294785","7.4428194924","2.4","0.0004094928","0.6451612992","0.5813336677","0.0748525629","0.0110913163","0.01","0.3808","0.00115","0.0213120456","0.0148855912","0.0024220897","0.000001974","0.002592","","0.0000036474","0.00000043","0.0000007569","0","0","","55.7037658564"
"2024-07-19","36.5743771299","7.4559664263","7.4409669051","2.4","1.4899185762","0.6451612992","0.5811700933","0.0769880136","0.0108973021","0.01","0.3213","0.0007228","0.0213120456","0.0151532256","0.0018764","0.0000001792","0.00252","","0.0000034504","0.0000010767","0.0000006525","0","0","","57.0483355757"
"2024-07-20","36.5486597052","7.4542690419","7.4408653729","2.4","2.346583624","0.6451612992","0.5810517766","0.0769880136","0.0100403623","0.01","0.238","0.0004004","0.0213120456","0.0144332256","0.0018376","0.0000001792","0.00252","","0.000003441","0.0000010497","0.0000004437","0","0","","57.7921275805"
"2024-07-21","36.5486561513","7.4547082504","7.4408460037","2.4","2.3487002473","0.6451612992","0.5810341063","0.0769880136","0.010050744","0.01","0.1904","0.0003636","0.0213120456","0.0140732256","0.0018196","0.0000003591","0.002592","","0.0000034083","0.0000012696","0.0000003654","0","0","","57.7467106894"
"2024-07-22","36.5743810695","7.500274499","7.440947436","2.4","2.3439139241","0.6451612992","0.5811698676","0.0769880136","0.0098621301","0.01","0.1904","0.0007416","0.0213120456","0.0141632256","0.0018124","0.0000001792","0.002592","","0.0000035386","0.0000009897","0.0000003654","0","0","","57.8137245832"
"2024-07-23","36.5745120103","7.4980414854","7.440953758","2.4","2.346270344","0.6451612992","0.5811482834","0.0769880136","0.0112972916","0.01","0.3808","0.000638","0.0213120456","0.0154232256","0.0019144","0.0000006792","0.002448","","0.0000028724","0.000001476","0.000000783","0","0","","58.0069139673"
