account_id,account_name,entity,hod_id,cloud_id,business_id,percentage,prod_flg,account_creation_date,cls_flg,cls_date
423969094700,pai_push_ocl,OCL,00023538,,,,,,,
424503791295,merchant-payments-api_prod_ocl,OCL,01100255,,,,,,,
439726107081,risk-verifier-nonprod,OCL,00059868,,,,,,,
442231926211,lending-vkyc,OCL,00029009,,,,,,,
442447453008,Digital Gold,OCL,00023538,,,,,,,
445736908015,recharge bill payments_ocl,OCL,00023593,,,,,,,
453914767997,risk-monitoring,OCL,00028103,,,,,,,
463470958933,New Gold,OCL,00023538,,,,,,,
465354398947,aml-nonprod,OCL,00052892,,,,,,,
469795226344,billing account_ocl,OCL,00023538,,,,,,,
470060591194,edutech,OCL,04001069,,,,,,,
471112548387,ppsl-affordability-prod,PPSL,01100255,,,,,,,
471112571211,ppsl-dwh-prod,PPSL,00029009,,,,,,,
471112938013,tpap-oauth-dr,OCL,00022072,,,,,,,
471112958605,lending-dwh,OCL,00029009,,,,,,,
474140895141,Enterprise SMS,OCL,00010006,,,,,,,
475804058290,payer9,PIBPL,00300997,,,,,,,
475919677060,paytm_digital_content_ocl,OCL,00000071,,,,,,,
477161539263,ticketnewprod (Ram),na,00000006,,,,,,,
477815026673,Affiliate6,Rooter,00000001,,,,,,,
479671683529,cdp risk_ocl,OCL,00029009,,,,,,,
480732456233,dms-prod_ocl,OCL,00015178,,,,,,,
481935107677,DaaS-Apps,OCL,00029009,,,,,,,
492902601864,ncmc_acquirer_ocl,OCL,00023538,,,,,,,
494799526181,AWS_Paytm'Mloyal,OCL,00026958,,,,,,,
495419344110,incentive,OCL,00015178,,,,,,,
505767364771,risk anomaly,OCL,00059868,,,,,,,
510772292268,cdo-dre,OCL,00029009,,,,,,,
518207312579,cst-ai,OCL,00022072,,,,,,,
522974168642,paytmchat_ocl,OCL,00000071,,,,,,,
529444375373,Paytm Insurance Broking Private Limited,PIBPL,00300997,,,,,,,
532041146482,aml-ppsl-nonprod,PPSL,00000005,,,,,,,
537598503159,ROOTER-PROD-ANALYTICS,Rooter,00000001,,,,,,,
538615689396,Pandora AWS,Labs,Labs017,,,,,,,
541095382258,Card Tokenization,OCL,01100255,,,,,,,
542832536672,Affiliate1,Nearbuy,00023538,,,,,,,
546818093346,verifierAWS,OCL,00059868,,,,,,,
548411824430,pocketurmoney,OCL,00015178,,,,,,,
562921704166,paytm-ups,OCL,00023538,,,,,,,
564188254156,Lending DataScience,OCL,00029009,,,,,,,
567423616371,parent account_ocl,OCL,00023538,,,,,,,
576218818919,tools-pa,OCL,00023538,,,,,,,
576293063887,digital_insurance,OCL,00300997,,,,,,,
576349278157,ROOTER-CLOUD-SECURITY,Rooter,00000001,,,,,,,
576911611801,poc_infra_testing_ocl,OCL,00023538,,,,,,,
580053151223,ROOTER-PROD-TRANSCODING,Rooter,00000001,,,,,,,
582604545400,pm-chat,PML,04001069,,,,,,,
590183666588,ppsl-pg2-prod,PPSL,01100255,,,,,,,
590183673148,ppsl-rtdd-prod,PPSL,01100255,,,,,,,
590183908249,pml-wiki-jira,PML,04001069,,,,,,,
605458724602,content_ml_ocl,OCL,00000071,,,,,,,
608146213544,ppblmaquettepa-prod,OCL,00059868,,,,,,,
611670160261,emi-nonprod,OCL,01100255,,,,,,,
615069360012,merchant-ra-automation,OCL,00022072,,,,,,,
625612021127,aoa-nonprod,OCL,01100255,,,,,,,
628412515026,Datalake AWS,OCL,00029009,,,,,,,
630307967658,dms-nonprod_ocl,OCL,00015178,,,,,,,
637423614657,pml-oauth,PML,00022072,,,,,,,
647564693872,aml-prod,OCL,00052892,,,,,,,
654654138046,it-infra,PaiPai,,,,,,,,
654654145181,pml-oauth-nonprod,PML,04001069,,,,,,,
654654208887,ppsl-recon-prod,PPSL,00022072,,,,,,,
654654282963,paytm-tsp-paipai,PaiPai,00060253,,,,,,,
654654315008,ondc-analytics,PAI,00023538,,,,,,,
654654394550,oauth-nonprod,PPSL,00022072,,,,,,,
654654497161,ppsl-ump-prod,PPSL,00015178,,,,,,,
656952484900,Paytm Money,PML,04001069,,,,,,,
658447621694,hrtech_ocl,OCL,00015923,,,,,,,
659606126372,URJA MONEY PVT LTD,Creditmate,00029009,,,,,,,
661338130494,telco-testing,OCL,00010006,,,,,,,
663804405009,movies_ocl,Insider,00000071,,,,,,,
664526282133,Paytm Labs,OCL,Labs011,,,,,,,
678670235450,authoriser,OCL,00023538,,,,,,,
685585466397,recon_nonprod_ocl,OCL,00022072,,,,,,,
695745283037,ROOTER-CLOUD-LOGS,Rooter,00000001,,,,,,,
698979518480,central_pipeline_ocl,OCL,00023538,,,,,,,
700271710604,labs-llm,OCL,Labs008,,,,,,,
705108899578,daas-managed-services,OCL,00029009,,,,,,,
718893572916,AaaS-nonprod,OCL,00029009,,,,,,,
722152247093,paytm_app_ocl,OCL,00000071,,,,,,,
730335596554,ppsl-aml-prod,PPSL,01100255,,,,,,,
736121233725,Paytmmoney Ltd. Data Platform,PML,04001069,,,,,,,
736384229724,cloudsecurity-logs,OCL,00053973,,,,,,,
737499001343,call-centre-ivr,OCL,00022072,,,,,,,
745098155683,merchant_automation,OCL,00015178,,,,,,,
746682193773,cds,OCL,00046278,,,,,,,
752518464574,User Preferences System,OCL,00200063,,,,,,,
753168370952,hawkeye_ocl,OCL,00000071,,,,,,,
755560366148,SAP-HANA,OCL,00010006,,,,,,,
758230397644,Mall Bangalore,OCL,00023538,,,,,,,
761904723706,kyb,OCL,00015178,,,,,,,
762730909359,PM-Equities,PML,04001069,,,,,,,
767397730150,ppsl-mo-prod,PPSL,00015178,,,,,,,
767397827620,ppsl-oauth-prod,PPSL,00022072,,,,,,,
767397877262,it-infra,PIBPL,,,,,,,,
767397937234,ppsl-risk-prod,PPSL,00059868,,,,,,,
767398050080,YBL-TSP-AWS-prod,OCIL,00200063,,,,,,,
769263341944,hotels,OCL,00027680,,,,,,,
789596305652,regular_mf,OCL,10077085,,,,,,,
797142548187,ppblpgpa-prod,OCL,00000003,,,,,,,
798411736697,ncmc-acq-rupay-switch,OCL,00023538,,,,,,,
807119641913,pm-bigdata,PML,04001069,,,,,,,
811134095225,AWS DaaS,OCL,00029009,,,,,,,
821240137883,edc_non prod_ocl,OCL,00026958,,,,,,,
824873459626,miniapps_ocl,OCL,00000071,,,,,,,
841860372390,fastag issuer_prod_ocl,OCL,00023538,,,,,,,
842253078465,mcdonalds-paipai,PaiPai,00060253,,,,,,,
848332057417,mloyal_prod,OCL,00026958,,,,,,,
850995531967,cst-playground,OCL,00022072,,,,,,,
851725259328,ppsl-recon-nonprod,PPSL,00022072,,,,,,,
851725259472,ppsl-app-sec,PPSL,01100964,,,,,,,
851725496687,pml-oauth-dr,PML,04001069,,,,,,,
860971823470,Video KYC,OCL,00000004,,,,,,,
863780864233,Affiliate5,Creditmate,00029009,,,,,,,
885068115609,pai-sre,OCL,00059868,,,,,,,
891377131146,YBL-TSP-AWS-UAT V2,OCIL,00200063,,,,,,,
898496923608,games_pfg,OCL,00060253,,,,,,,
899249751508,PayTm DaaS ML,OCL,00029009,,,,,,,
901553615594,merchantdashboards,OCL,00015178,,,,,,,
905418158003,FInmate,OCIL,00010006,,,,,,,
905418240150,,,,,,,,,,
905418390117,ppsl-pg2-nonprod,PPSL,01100255,,,,,,,
906954799739,Nearbuy,Nearbuy,00023538,,,,,,,
907058949943,ppbloe-prod,Nearbuy,00023538,,,,,,,
913203018054,ppblpgpa-nonprod,OCL,01100255,,,,,,,
914516902729,finance_support_ocl,OCL,00048219,,,,,,,
919275210163,ROOTER-CLOUD-MANAGEMENT,Rooter,00000001,,,,,,,
929265682896,payment-non-prod,OCL,01100255,,,,,,,
952840895893,User Management,OCL,00022072,,,,,,,
954976288980,tocom-aisensy,OCL,00030607,,,,,,,
957981356015,Pai Platforms,PaiPai,00060253,,,,,,,
968032760053,Fraud AWS,OCL,00059868,,,,,,,
973103936838,ROOTER-STAGE,Rooter,00000001,,,,,,,
975049937880,mgc-sclp,OCL,00023538,,,,,,,
975049957371,tpap-dwh,OCL,00029009,,,,,,,
975050351452,ppsl-binary,PPSL,00022072,,,,,,,
984308723723,commonsaas_ocl,OCL,00023538,,,,,,,
985226307906,Insider Payer,Insider,00000071,,,,,,,
992382517474,ppsl-central-tools,PPSL,00023538,,,,,,,
992382687474,pml-cst,PML,04001069,,,,,,,
992382754296,OCIL-AWS-UAT,OCIL,00200063,,,,,,,
997924011427,ckyc,OCL,00015178,,,,,,,
DROCL,DR - overall (to align with new contract),PML,00023538,,,,,,,
New 3,Confluent Kafka,OCL,00023538,,,,,,,
Premium Support,Premium Support,OCL,00023538,,,,,,,
